EventID,EventType,StartDateTime,EndDateTime,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,ZipCode(s),EventDuration in Hours,EncodedEventType,Mean Event Duration,Count Event Duration,Median Event Duration,Modal EventType,Max Event Duration,Min Event Duration,Maximum Event Duration for Shooting Permits,Minimum Event Duration for Shooting Permits,Average Event Duration for Shooting Permits,Maximum Event Duration for Theater Load in and Load Outs,Average Event Duration for Theater Load in and Load Outs,Maximum Event Duration for Rigging Permit,Average Event Duration for Rigging Permit,Maximum Event Duration for DCAS Prep/Shoot/Wrap Permit,Average Event Duration for DCAS Prep/Shoot/Wrap Permit
710578,Shooting Permit,5/3/23 6:00,5/3/23 22:00,Brooklyn,6,76,Commercial,Commercial,11231,16,0,23.6166433,4280,15,0,852,1,304,1,14.84963625,852,56.83068224,23,11.44166667,72,14.22727273
712307,Theater Load in and Load Outs,5/6/23 0:01,5/7/23 6:00,Manhattan,7,20,Theater,Theater,10023,29.98333333,1,23.61842331,4279,* Average estimate of,* 0 is representative of Shooting Permit,,,,,,,,,,,
711256,Shooting Permit,5/3/23 7:00,5/3/23 23:00,Brooklyn,1,94,Television,Episodic series,11222,16,0,23.61693548,4278,* Hours retatining Film ,* Most popular Event Type,,,,,,,,,,,
712907,Theater Load in and Load Outs,5/5/23 0:01,5/6/23 6:00,Manhattan,"4, 5",14,Theater,Theater,"10001, 10121",29.98333333,1,23.61871639,4277,* Permit,"Event Type Mapping Dictionary:
Event Type: Shooting Permit --> Encoded Number: 0
Event Type: Theater Load in and Load Outs --> Encoded Number: 1
Event Type: Rigging Permit --> Encoded Number: 2
Event Type: DCAS Prep/Shoot/Wrap Permit --> Encoded Number: 3",,,,,,,,,,,
711948,Theater Load in and Load Outs,5/7/23 6:00,5/10/23 5:30,Manhattan,7,20,Theater,Theater,10023,71.5,1,23.61722794,4276,,,,,,,,,,,,,
712305,Theater Load in and Load Outs,5/4/23 0:01,5/7/23 6:00,Manhattan,4,18,Theater,Theater,10019,77.98333333,1,23.60602729,4275,,,,,,,,,,,,,
711623,Theater Load in and Load Outs,5/6/23 0:01,5/6/23 23:59,Manhattan,"11, 3","23, 9",Theater,Theater,"10003, 10029",23.96666667,1,23.59330448,4274,,,,,,,,,,,,,
713623,Shooting Permit,5/4/23 6:00,5/4/23 23:00,Queens,2,108,Television,Episodic series,11101,17,0,23.5932171,4273,,,,,,,,,,,,,
713106,Shooting Permit,5/4/23 7:00,5/4/23 23:00,Manhattan,5,18,Film,Feature,10019,16,0,23.59476046,4272,,,,,,,,,,,,,
711445,Shooting Permit,5/3/23 7:00,5/3/23 22:00,Brooklyn,1,94,Television,Episodic series,11222,15,0,23.59653867,4271,,Row Labels,Sum of EventDuration in Hours,Sum of Mean Event Duration,,,,,,,,,
712960,Shooting Permit,5/3/23 8:00,5/3/23 21:00,Brooklyn,1,94,Television,Episodic series,11222,13,0,23.59855191,4270,,DCAS Prep/Shoot/Wrap Permit,313,450.9157736,,,,,,,,,
712229,Rigging Permit,5/4/23 7:00,5/4/23 19:00,Manhattan,9,30,Television,Episodic series,"10027, 10031",12,2,23.60103459,4269,,Bronx,96,64.05981986,,,,,,,,,
713806,Shooting Permit,5/5/23 9:00,5/5/23 23:00,Brooklyn,1,94,Television,Episodic series,11222,14,0,23.60375273,4268,,10451,96,64.05981986,,,,,,,,,
712790,Shooting Permit,5/3/23 6:00,5/3/23 18:00,Manhattan,10,32,Commercial,Commercial,"10027, 10030",12,0,23.60600344,4267,,Brooklyn,14,19.25886767,,,,,,,,,
713050,Shooting Permit,5/7/23 2:00,5/7/23 18:00,Brooklyn,"2, 3, 4, 5, 6, 8","10, 17, 18, 19, 5, 7, 84",Commercial,Commercial,"10001, 10002, 10017, 10022, 10065, 10152, 11201",16,0,23.60872402,4266,,11201,14,19.25886767,,,,,,,,,
713316,Shooting Permit,5/5/23 12:00,5/6/23 3:00,Brooklyn,1,94,Television,Episodic series,11222,15,0,23.61050801,4265,,Manhattan,179,329.1276354,,,,,,,,,
713077,Shooting Permit,5/4/23 0:00,5/4/23 20:00,Brooklyn,6,76,Commercial,Commercial,11231,20,0,23.61252736,4264,,10007,75,152.0445405,,,,,,,,,
713234,Shooting Permit,5/3/23 7:00,5/3/23 23:00,Brooklyn,1,94,Television,Episodic series,11222,16,0,23.61337478,4263,,10010,4,19.56793039,,,,,,,,,
713137,Shooting Permit,5/4/23 6:00,5/4/23 17:00,Manhattan,"2, 5","14, 18, 84",Still Photography,Not Applicable,"10019, 10036, 11201",11,0,23.61516111,4262,,"10007, 10013",87,138.3460033,,,,,,,,,
714081,Shooting Permit,5/7/23 3:00,5/7/23 13:00,Manhattan,5,18,Television,News,"10036, 10105",10,0,23.61812172,4261,,"10007, 10013, 10038",13,19.16916115,,,,,,,,,
